127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001003
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.006999
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004976
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.006001
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/images/questions.png, HTTP/1.1, 200, 0.001999
127.0.0.1, 2021-05-26 10:58:12, POST, /admin/default/index, HTTP/1.1, 303, 0.020014
127.0.0.1, 2021-05-26 10:58:12, GET, /admin/default/ticket/movies/127.0.0.1.2021-05-26.10-58-07.a74c7061-1974-4058-bf13-3db1db5a7475, HTTP/1.1, 200, 0.097663
127.0.0.1, 2021-05-26 10:58:12, GET, /admin/static/_2.21.1/images/help.png, HTTP/1.1, 200, 0.002003
127.0.0.1, 2021-05-26 10:58:45, GET, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.031284
127.0.0.1, 2021-05-26 10:58:48, GET, /admin/default/ticket/movies/127.0.0.1.2021-05-26.10-58-45.ff91da58-a7d1-4680-8c9b-b99371ee816c, HTTP/1.1, 200, 0.031262
127.0.0.1, 2021-05-26 11:00:00, GET, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.022157
127.0.0.1, 2021-05-26 11:00:02, GET, /admin/default/ticket/movies/127.0.0.1.2021-05-26.11-00-00.cfe5ec2d-9d98-4be6-a745-d2a73791240d, HTTP/1.1, 200, 0.062502
127.0.0.1, 2021-05-26 11:00:39, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:00:43, GET, /movies/default/call/json/get_recommendations/, HTTP/1.1, 404, 0.015670
127.0.0.1, 2021-05-26 11:00:57, GET, /admin/default/index, HTTP/1.1, 303, 0.013998
127.0.0.1, 2021-05-26 11:00:57, GET, /admin/default/site, HTTP/1.1, 200, 0.029999
127.0.0.1, 2021-05-26 11:00:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 11:01:01, GET, /admin/default/cleanup/movies, HTTP/1.1, 303, 0.041707
127.0.0.1, 2021-05-26 11:01:01, GET, /admin/default/site, HTTP/1.1, 200, 0.027996
127.0.0.1, 2021-05-26 11:01:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 11:01:11, GET, /admin/default/remove_compiled_app/movies, HTTP/1.1, 303, 0.042001
127.0.0.1, 2021-05-26 11:01:11, GET, /admin/default/site, HTTP/1.1, 200, 0.027999
127.0.0.1, 2021-05-26 11:01:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 11:01:34, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 1.870002
127.0.0.1, 2021-05-26 11:01:40, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.232015
127.0.0.1, 2021-05-26 11:01:42, GET, /admin/default/ticket/movies/127.0.0.1.2021-05-26.11-01-40.47d6a319-ca3c-4f8e-89ab-1bfb4858bc43, HTTP/1.1, 200, 0.110618
127.0.0.1, 2021-05-26 11:02:21, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.294997
